"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.462040500E0,6.339390412E-2,-2.170843130E-1,-4.530943674E0,4.536584064E0
2.471967500E0,2.615444943E-2,-2.116361699E-1,-4.236353933E0,4.241717644E0
2.481895500E0,-1.870129600E-2,-1.470276529E-1,-3.924400885E0,3.927198642E0
2.491823500E0,-1.112656434E-1,5.269393802E-2,-4.053141371E0,4.055010687E0
2.501750500E0,-9.134841889E-2,2.041295144E-1,-4.165131923E0,4.171131421E0
2.511678500E0,-4.644070633E-2,4.019621623E-1,-4.017624798E0,4.037949893E0
2.521605500E0,-1.272040569E-1,6.886289263E-1,-3.687274071E0,3.753182749E0
2.531533500E0,-1.983025447E-1,9.591947973E-1,-3.019644835E0,3.174528861E0
2.541461500E0,-3.049126350E-1,1.259225080E0,-1.923873113E0,2.319462712E0
2.551388500E0,-4.093709499E-1,1.502396454E0,-7.678470039E-1,1.736193739E0
2.561316500E0,-4.014936541E-1,1.599079872E0,-8.072081208E-3,1.648732468E0
2.571243500E0,-1.551707777E-1,1.571911662E0,3.272686601E-1,1.613099197E0
2.581171500E0,1.029680789E-1,1.648136550E0,6.713550818E-1,1.782603197E0
2.591098500E0,2.608624897E-1,1.716734914E0,1.205000049E0,2.113587737E0
2.601026500E0,4.162319997E-1,1.658355436E0,1.691790692E0,2.405316523E0
2.610954500E0,6.592878905E-1,1.485505017E0,1.929550760E0,2.522806337E0
2.620881500E0,9.051520528E-1,1.332598574E0,2.005811900E0,2.572625231E0
2.630809500E0,6.493699164E-1,1.318079060E0,2.007112321E0,2.487471320E0
2.640736500E0,1.058471017E-1,1.419177419E0,2.148750595E0,2.577284865E0
2.650664500E0,-4.529568263E-1,1.659845014E0,2.409132956E0,2.960435265E0
2.660592500E0,-1.098967079E0,2.074367288E0,2.880751829E0,3.716108096E0
2.670519500E0,-1.650015699E0,2.274497307E0,3.891432529E0,4.799910096E0
2.680447500E0,-1.979773080E0,2.192052736E0,4.836040862E0,5.666735203E0
2.690374500E0,-1.785619208E0,1.769045275E0,5.864304725E0,6.380284245E0
2.700302500E0,-1.549865904E0,1.258934474E0,7.760955541E0,8.013702717E0
2.710230500E0,-1.588359002E0,1.017753493E0,9.055096393E0,9.249512267E0
2.720157500E0,-1.339364679E0,6.918255991E-1,9.639938411E0,9.757096544E0
2.730085500E0,-6.910868765E-1,2.290243274E-1,9.369042172E0,9.397287078E0
2.740012500E0,7.209375702E-2,-6.488742918E-2,8.490252437E0,8.490806459E0
2.749940500E0,8.037239843E-1,-2.614214104E-1,7.302204636E0,7.350952723E0
2.759868500E0,1.453987501E0,-3.429085001E-1,6.365702298E0,6.538641421E0
2.769795500E0,1.426413056E0,-8.578274667E-2,5.638388193E0,5.816651468E0
2.779723500E0,1.116180331E0,1.864177135E-1,4.798413445E0,4.930048852E0
2.789650500E0,8.958748604E-1,1.480476996E-1,4.418184214E0,4.510527866E0
2.799578500E0,5.570472783E-1,-1.986942351E-2,3.874317144E0,3.914208706E0
2.809506500E0,4.112371619E-1,-2.684509331E-1,3.142973723E0,3.181110770E0
2.819433500E0,4.110659116E-1,-5.083294469E-1,2.460953904E0,2.546304799E0
2.829361500E0,3.105328325E-1,-6.108279213E-1,1.784875442E0,1.911889571E0
2.839288500E0,1.511784451E-1,-7.074844426E-1,1.226529497E0,1.423995704E0
2.849216500E0,7.289723754E-3,-8.602654633E-1,7.692333788E-1,1.154049305E0
2.859143500E0,-4.283165865E-2,-1.045152083E0,1.778804862E-1,1.061046133E0
2.869071500E0,-9.942897856E-3,-1.223099520E0,-4.604565382E-1,1.306939754E0
2.878999500E0,-3.083573028E-2,-1.349329212E0,-1.065109507E0,1.719330808E0
2.888926500E0,-6.299373530E-2,-1.492885957E0,-1.585309972E0,2.178505083E0
2.898854500E0,-4.052939057E-2,-1.518859874E0,-2.147532620E0,2.630679438E0
2.908781500E0,-3.818743452E-3,-1.463392017E0,-2.753495951E0,3.118215953E0
2.918709500E0,6.582166806E-2,-1.488504639E0,-3.321909047E0,3.640749685E0
2.928637500E0,1.585465946E-1,-1.557412029E0,-3.848728559E0,4.154922475E0
2.938564500E0,2.132826727E-1,-1.579768565E0,-4.241925160E0,4.531565655E0
2.948492500E0,2.083489383E-1,-1.567437372E0,-4.583160480E0,4.848260428E0
2.958419500E0,7.499887303E-2,-1.511223995E0,-4.866384988E0,5.096187364E0
2.968347500E0,-3.705563284E-2,-1.455475764E0,-5.096927252E0,5.300797132E0
2.978275500E0,-5.522110462E-2,-1.401517073E0,-5.307548053E0,5.489750979E0
2.988202500E0,9.910811260E-3,-1.403168327E0,-5.454189205E0,5.631798954E0
2.998130500E0,1.502373357E-1,-1.393372779E0,-5.503411651E0,5.679049107E0
3.008057500E0,2.720161998E-1,-1.292787513E0,-5.560775760E0,5.715550667E0
3.017985500E0,3.178796397E-1,-1.158998249E0,-5.510606650E0,5.640133869E0
3.027913500E0,2.380108400E-1,-9.623066854E-1,-5.557126513E0,5.644850609E0
3.037840500E0,5.462001085E-2,-8.459739912E-1,-5.515745768E0,5.580511331E0
3.047768500E0,-2.178821656E-1,-7.941922188E-1,-5.515620053E0,5.576762366E0
3.057695500E0,-4.228684433E-1,-6.849635991E-1,-5.674041005E0,5.730858067E0
3.067623500E0,-5.676386324E-1,-5.215415230E-1,-5.719417153E0,5.771130890E0
3.077551500E0,-6.126144650E-1,-3.572958666E-1,-5.647213395E0,5.691570605E0
3.087478500E0,-6.812517866E-1,-1.234686363E-1,-5.394599646E0,5.438846738E0
3.097406500E0,-7.882504244E-1,1.479406956E-1,-5.008437830E0,5.072245526E0
3.107333500E0,-8.385328245E-1,2.884770620E-1,-4.410720828E0,4.498979277E0
3.117261500E0,-9.166554263E-1,4.289979333E-1,-3.908561363E0,4.037468058E0
3.127189500E0,-1.055686866E0,5.508334422E-1,-3.609088027E0,3.800448477E0
